,n_clusters,time,inertia,calinski,davies,silhouette,ARI,AMI,homo,compl,v-measure
0,2,0.11941838264465332,223.73200573676343,248.90342786485118,0.5975546650809878,0.580184463257396,0.5681159420289855,0.7315847607219575,0.5793801642856945,0.9999999999999997,0.7336804366512104
1,3,0.22204089164733887,140.965816630747,239.34180132491107,0.8354098493935597,0.45897178670187183,0.6201351808870379,0.6552228479234872,0.659126501804901,0.659847677962776,0.659486892724918
2,4,0.3095078468322754,126.07747040498019,182.9369648640511,1.0287978414815047,0.4101522597739564,0.5761870149949793,0.6247347922449017,0.682103156452037,0.5875464047740239,0.6313037384448027
3,5,0.35347437858581543,118.81320407469742,146.81046175074832,1.0891609175614514,0.3540270988360776,0.5770190470055186,0.629659735424224,0.7358381094431447,0.5628381396179042,0.6378152412941624
4,6,0.3608121871948242,112.31234799925862,125.05663560443126,0.9044509921982908,0.33526504171329263,0.5638230905017014,0.5840676828731612,0.7214066761595255,0.506814102421767,0.5953637708054146
5,7,0.38731980323791504,113.88480275410724,101.73214734696118,1.0810363362077136,0.28747065275836475,0.5833632876728149,0.6337225655000805,0.7842582998996104,0.5492124736494094,0.646020069448656
6,8,0.40208005905151367,112.65447380735665,87.75640920990621,1.0048736967654692,0.2803749643167793,0.5796726959517657,0.6237080156824647,0.7853041714386269,0.538262846900959,0.6387286070818402
7,9,0.4266388416290283,112.40167074291023,76.45723143041691,0.9351811861465931,0.2511415601246535,0.5836100442448465,0.6448070903072862,0.8143126262090156,0.5559530485997989,0.6607763667689861
8,10,0.44673871994018555,111.67918639314063,68.01716407796235,0.8826404021865801,0.21708425392026934,0.5773920841197868,0.622471976299782,0.7960219072651155,0.5366310752287647,0.6410822586416155
