,time,affinity,linkage,n_clusters,calinski,davies,silhouette,ARI,AMI,homo,compl,v-measure
0,0.02364039421081543,euclidean,single,2,8.85487032325976,1.033246457287345,0.12489668301041928,0.0001239068217396336,0.007639714265890697,0.006139117730406577,0.39800013672128126,0.012091721698080917
1,0.024071931838989258,euclidean,single,3,8.5548327130842,1.0244068467590204,0.03969936277497009,0.000235683638728217,0.015086943127599634,0.012262823968733376,0.39769924838276444,0.023792034455489768
2,0.023937702178955078,euclidean,single,4,9.549813198913867,0.9855861954466,0.030150025619531576,0.0005019296933635167,0.02269788769532431,0.01855171149658492,0.40130540415638705,0.0354639795414743
3,0.025641679763793945,euclidean,single,5,9.890868090278106,0.9755863680767527,0.023399108896723947,0.0009277881780864902,0.030494297697309932,0.025019610151567076,0.4061176306374347,0.04713536123964512
4,0.02424311637878418,euclidean,single,6,9.343872865497907,1.0056621342528176,-0.042856647089298136,0.0010062195836371462,0.03738939471626046,0.03109650992138408,0.4040107988601358,0.05774817182585612
5,0.02389669418334961,euclidean,single,7,9.104113464660518,1.0107148220933642,-0.04615595138256463,0.001243515245241952,0.04445486661835862,0.03733830023868198,0.4044600954281783,0.06836535680428724
6,0.023794174194335938,euclidean,single,8,9.741356306876803,0.98163166770902,-0.05219430544550491,0.0018197105522902762,0.05210364080240855,0.043969674181983005,0.40846014650342893,0.07939290796911835
7,0.02408123016357422,euclidean,single,9,18.15814194705965,1.2527876065510037,-0.03823129336961616,0.0016101639402239705,0.043447757668001435,0.044763548090096875,0.16946750703358446,0.07082042233724803
8,0.023992538452148438,euclidean,single,10,18.077728137992178,1.2859814933494598,-0.04077202516751544,0.0021674183545553464,0.05457005608417766,0.05492774293252241,0.18271710664487464,0.0844641765307463
9,0.0307314395904541,euclidean,single,11,17.165816869248,1.2653529229069225,-0.05352450528513407,0.0026497631502500774,0.06066169971215927,0.061355354674991765,0.19446192083019365,0.09327970599135595
10,0.024085521697998047,euclidean,single,12,16.488777262966455,1.2515424812276819,-0.06861253423923996,0.0031230571122324393,0.06662622191123356,0.06776396271179613,0.2051019442573964,0.10187070020692829
11,0.02424788475036621,euclidean,single,13,18.206698434593797,1.20856463553473,-0.05944269837730933,0.003778474177999217,0.07563202553850715,0.07683198902914436,0.21546521554984857,0.11327252411553135
12,0.024097442626953125,euclidean,single,14,17.83122658723434,1.1871755949190845,-0.06875291899651005,0.004704485376231605,0.08206590939946967,0.08371729373247602,0.22540594154950963,0.12208966045876074
13,0.024229764938354492,euclidean,single,15,17.79151090522159,1.1486912689280484,-0.07292028312898702,0.004908735625530007,0.08836381684563659,0.09037472644243964,0.23685089131457543,0.13082920987009958
14,0.03408622741699219,euclidean,complete,2,80.11261329680354,3.3972790819381755,0.07204996942488723,0.053261498601594494,0.11602671182146751,0.07653279338046208,0.2667264070403266,0.11893820747765198
15,0.03295397758483887,euclidean,complete,3,60.913698642643524,2.840645166571649,0.058030478558857984,0.05190789426309733,0.12279571408283503,0.0858680073765967,0.2565869137801253,0.12867449491331395
16,0.03277420997619629,euclidean,complete,4,112.64710326953109,2.089433885156821,0.10855473286403801,0.09678998337753589,0.23185394257235992,0.17499017679249032,0.3757772453851004,0.2387843723383145
17,0.033455610275268555,euclidean,complete,5,102.76668378215875,2.0852465140838845,0.09303462232239079,0.10813217857302217,0.25712749975857874,0.20420604153997515,0.37997384264093015,0.26564747056716265
18,0.033248186111450195,euclidean,complete,6,109.53904386891807,1.917064679124701,0.1091560395902333,0.09917655396156841,0.24993839233083223,0.21324344360336636,0.33289390744041825,0.25996186871856686
19,0.03281450271606445,euclidean,complete,7,115.35330132087809,1.8449346170420424,0.1293852154765728,0.13288208797815806,0.29455842181626707,0.2658101732185308,0.3582328934890235,0.3051774871028789
20,0.03276824951171875,euclidean,complete,8,108.2069134764786,1.8138692688394165,0.130016327462171,0.13077525513179536,0.30065450620210044,0.278565353115922,0.356397762232665,0.31271129325854835
21,0.032854318618774414,euclidean,complete,9,101.65945966000469,1.8185763150339476,0.11766259968254612,0.13414342850664565,0.31362606910664087,0.29798831197994635,0.36191995403602184,0.32685729738213115
22,0.03289318084716797,euclidean,complete,10,97.11537046888516,1.9710844236449965,0.11929905102856363,0.1375419495671276,0.3110751646871289,0.30725270163170715,0.3460184463144803,0.32548537549461004
23,0.03340482711791992,euclidean,complete,11,92.17954882205814,1.9060534578958228,0.11579075196977855,0.14107654428597313,0.32214547075651034,0.3234596876878561,0.3534984998404263,0.33781263440803827
24,0.033620595932006836,euclidean,complete,12,87.68129448846148,1.8388106205250907,0.12087592529912176,0.13946887933886415,0.32531209425343655,0.33129597928599436,0.3543767479196642,0.3424478970213363
25,0.04484367370605469,euclidean,complete,13,84.30396133215656,1.8535440636159266,0.12431788835168626,0.1417184049064078,0.32818394890398783,0.340805248155486,0.3524709848514641,0.3465399670168919
26,0.03386521339416504,euclidean,complete,14,84.5825613341557,1.8921332157169946,0.12331747458859749,0.12932241534904576,0.32599560178972814,0.34961733894545255,0.34119999591404676,0.34535738638906566
