,n_clusters,time,inertia,calinski,davies,silhouette,ARI,AMI,homo,compl,v-measure
0,2,2.698798179626465,10615.902178265907,179.43955010623372,2.0591114155542045,0.16653992719275054,0.01113797508030866,0.02936758122716898,0.020447642725115192,0.08107648369276538,0.03265869957126401
1,3,2.4837005138397217,9366.051023327622,170.00519027976108,2.081416066581015,0.15502512752869524,0.04652048805883273,0.12033083335383063,0.09041309593002698,0.20520911182935728,0.12552230939730102
2,4,3.1497910022735596,8299.446631262947,172.1145569479346,1.85407648501917,0.1672426628312951,0.08466304303915949,0.1974531461794542,0.15951870426974518,0.28292476024328045,0.20401156206255916
3,5,3.5801196098327637,7666.537410387864,154.03429804306342,1.9809589446475493,0.14337111010177173,0.09266656764320781,0.19654947380184526,0.17059035761009975,0.25611228700223315,0.20478095076136626
4,6,3.8954906463623047,7238.1316226749595,144.67390262024674,1.903208782068341,0.13904183955996194,0.13365911120283785,0.277992706674112,0.2502726199708157,0.3359198791832611,0.28683938598599157
5,7,4.586697578430176,6903.938927033883,134.03033514630667,1.8597551377149437,0.14547301726447506,0.12262260682189238,0.2743373792075644,0.25497635747064756,0.32250729267879896,0.2847932914591765
6,8,6.600625276565552,6664.896809894976,125.68248344059927,1.8057811244489088,0.14864118229494266,0.12799129727048048,0.29510823487363746,0.28241660507377736,0.3354599652372617,0.3066614565843886
7,9,5.315284013748169,6450.795768907257,115.67060675790721,1.7749475609414924,0.14744938922875245,0.13052345552187283,0.2924030301680032,0.2897980517736856,0.32250926395308976,0.3052798944975394
8,10,7.704704761505127,6199.608685924903,112.68586004787338,1.7605435893680372,0.14758375064517004,0.13868743462150576,0.3122516930317939,0.3161737244711002,0.3366882971468621,0.326108700980768
9,11,6.820710897445679,5957.490757960902,110.20265474240821,1.6722457039540488,0.16257468028409763,0.14050382736392816,0.31693381718725544,0.32723230001175413,0.3370239902132885,0.332055976283702
10,12,8.010660648345947,5860.174130299768,105.12159998106328,1.6908108602825889,0.1614239368655901,0.1524538478969464,0.33890913185214855,0.35782024422543657,0.35149099282616575,0.3546273802707287
11,13,8.447860956192017,5650.101208713459,103.41250779645411,1.7058827659911968,0.1625799421502039,0.15368997398925408,0.3484264377053435,0.3750864386956713,0.3555594792325742,0.36506202399102755
12,14,8.27413010597229,5410.764008233051,101.88530647458414,1.694604092870217,0.16905128179315906,0.14813683271456482,0.33914485938955735,0.3719600935657084,0.3436997329841128,0.3572719331071177
13,15,9.089579105377197,5402.302080444595,96.16840165903506,1.6999094178015681,0.1658455484524116,0.14996798715150922,0.35086902135299747,0.3890358123189551,0.3528153004794078,0.3700413321557413
