,n_clusters,time,inertia,calinski,davies,silhouette,ARI,AMI,homo,compl,v-measure
0,7,54.087570667266846,71061.70941126508,2700.3315185630836,1.3156494710776374,0.29049118738010454,0.45681314774526227,0.6233371479535982,0.5652130476541692,0.695890896412852,0.6237814356964639
1,8,80.81182360649109,66722.0838002555,2566.943380774857,1.2995513572430113,0.29095323382712374,0.44599766642700095,0.624398542215661,0.5784647293502047,0.6794519825351577,0.6249046593785594
2,9,128.81506085395813,63986.69994130259,2400.569672431801,1.404853938472881,0.28073974706160376,0.5377539156291834,0.6713562384688717,0.6440120612653922,0.7021925139587747,0.6718450622475644
3,10,115.697434425354,59634.16847519555,2378.434859010152,1.3708597802203601,0.28376910461567983,0.5529176110154337,0.6966005775487768,0.6812173217411931,0.7137382448133073,0.6970986993613106
4,11,187.89653849601746,57141.586853901004,2281.6633883318696,1.3823595290828663,0.29175825019984863,0.5595251682135457,0.6997323886607084,0.6986736195696559,0.7018716091836843,0.7002689632494656
5,12,216.5046546459198,54209.53484375253,2240.2195669852895,1.4301319283695977,0.2792903344897867,0.6248972242392457,0.7194363705240597,0.7413540153750331,0.699786425529825,0.7199707422626231
6,13,215.39028644561768,52358.814911732465,2158.2664118896837,1.4234310463297082,0.26787921515794705,0.5938533991014283,0.7114708193948434,0.7442975146549822,0.6825019182165292,0.7120615130235567
7,14,213.81498169898987,50143.97692793846,2117.352597376561,1.3892225637926927,0.28306188733590043,0.6481206191286042,0.7408943159966319,0.7823852286220392,0.7046102195721345,0.7414637730046143
8,15,193.4985430240631,48963.287008422616,2032.2470563781942,1.2964732868421946,0.2905108084715613,0.6409953463611251,0.7416779374939959,0.7894031751126397,0.7004746843307716,0.7422849281125753
