,time,affinity,linkage,n_clusters,calinski,davies,silhouette,ARI,AMI,homo,compl,v-measure
0,0.0034689903259277344,euclidean,single,2,248.90342786485118,0.5975546650809878,0.580184463257396,0.5681159420289855,0.7315847607219575,0.5793801642856945,0.9999999999999997,0.7336804366512104
1,0.0009667873382568359,euclidean,single,3,130.19098847238877,0.4960794439535882,0.5028765952374755,0.5583714437541352,0.715566074890558,0.5793801642856945,0.9511655653784158,0.7201176036115982
2,0.0009851455688476562,euclidean,single,4,103.26154420711798,0.5046141544413293,0.40568357747819817,0.5522031331345544,0.6930237514441583,0.592280321540891,0.857269555528391,0.7005538698980612
3,0.0009441375732421875,euclidean,single,5,77.34312567436545,0.46785234310368207,0.34137147587698913,0.551796444741071,0.6856861760476228,0.5922803215408909,0.8431286390550448,0.6957856821968478
4,0.0009248256683349609,euclidean,single,6,63.019629738950776,0.4994601758764123,0.2008178770769911,0.5498939490241168,0.6745780163970833,0.5967107925971034,0.8104437779108893,0.6873453126020326
5,0.0009298324584960938,euclidean,single,7,55.31651437653784,0.4781509995611836,0.20401170412947062,0.5467481207733113,0.6632385904139592,0.6006986478314014,0.7801171638591395,0.6787513895955818
6,0.0009503364562988281,euclidean,single,8,53.41044204549601,0.4715889952151491,0.2277597796714382,0.5389794226055445,0.643715360488698,0.6130297511428392,0.7205101003293438,0.6624385870631228
7,0.0009410381317138672,euclidean,single,9,46.90243245391023,0.5663659222879578,0.12837246723511198,0.5365417585108988,0.633651903673112,0.6172692922672844,0.6980299793332473,0.6551702424347431
8,0.001293182373046875,euclidean,complete,2,151.28210935405056,0.8933993950581186,0.4404892859954057,0.41015419538798,0.4536714427932476,0.37324013616076207,0.5918752628634124,0.4577931383639511
9,0.0012445449829101562,euclidean,complete,3,210.90795087821527,0.7600100224326375,0.4487911772434677,0.5726305793711641,0.648474357187675,0.6240359047885913,0.6848895823958637,0.6530481596015469
10,0.0012671947479248047,euclidean,complete,4,181.84091031766673,0.8792259131572402,0.409657363864633,0.533199241783145,0.6197972204857845,0.6588805830096257,0.5974736953718882,0.626676445511339
11,0.0012505054473876953,euclidean,complete,5,165.78487432031392,0.855522671387256,0.3537137467229481,0.46252189312399405,0.5825412083074148,0.6588805830096257,0.5379831226249673,0.5923258125644882
12,0.0012440681457519531,euclidean,complete,6,143.44033737863745,0.8801837676166654,0.3124607021844965,0.4503184927477773,0.5714646774969039,0.6713605384617563,0.5167283177124138,0.5839815764873861
13,0.0012273788452148438,euclidean,complete,7,131.3549435818455,0.7920643581534837,0.30936240396393383,0.44435745913093255,0.5584503583041325,0.6713605384617563,0.5016272705758468,0.5742135628113855
14,0.0012402534484863281,euclidean,complete,8,148.2141633253799,0.8758999492173839,0.3319201835581083,0.47218554227037846,0.5819758505503493,0.774700964717035,0.4862264297135431,0.5974651448350938
15,0.001264333724975586,euclidean,complete,9,149.36253424717907,0.9094234483291292,0.34381347174398685,0.502025074429478,0.5930405193105938,0.8419418124206318,0.47712579352499046,0.6090850135995576
16,0.001241922378540039,euclidean,average,2,248.90342786485118,0.5975546650809878,0.580184463257396,0.5681159420289855,0.7315847607219575,0.5793801642856945,0.9999999999999997,0.7336804366512104
17,0.0013332366943359375,euclidean,average,3,147.63729652830375,0.5778414324364767,0.47945127284080874,0.5621364251426576,0.7081693056957753,0.5922803215408909,0.8958399602039628,0.7130987813117572
18,0.0012383460998535156,euclidean,average,4,103.26154420711798,0.5046141544413293,0.40568357747819817,0.5522031331345544,0.6930237514441583,0.592280321540891,0.857269555528391,0.7005538698980612
