,n_clusters,time,inertia,calinski,davies,silhouette,ARI,AMI,homo,compl,v-measure
0,2,2.685234546661377,9951.12375068086,184.51931463536272,1.89269983649819,0.18099573282082196,0.01492976996944227,0.05181087523313495,0.033879763184133306,0.14729549369959027,0.055088498622467695
1,3,3.1236801147460938,8711.618287246878,175.49597845463302,2.056998428901695,0.15430395181861484,0.07259296045511386,0.16292580758404432,0.12065339042782251,0.2758451582419849,0.16787780780862677
2,4,2.426618814468384,7696.443346102078,175.64703930408433,1.8137846656494303,0.17081879488657503,0.0954479623737376,0.2278934965680786,0.18315266599419097,0.3247057674663363,0.23420198644696377
3,5,3.2826032638549805,7221.458799426851,156.45450621844017,1.8451292511583854,0.15395254668987704,0.13079942700291441,0.28525961075059647,0.24330115054069662,0.3669445150728874,0.29259699079407664
4,6,3.9327526092529297,6815.690858568365,144.19687445157732,1.9174897099317567,0.14202923320546298,0.13408157137767793,0.2828307365277305,0.25424727131396724,0.3418897702241964,0.2916260360046639
5,7,5.185534715652466,6477.750588245974,134.85154299458256,1.8190451203463023,0.1469510591993832,0.14018083414210722,0.30785274253266703,0.2851263030086512,0.3589170130874874,0.3177944044163229
6,8,6.240488767623901,6178.747199457421,127.84601500304092,1.8544844936868015,0.15288498317996402,0.15638591992269577,0.3311984473803317,0.3164730466482227,0.3722347438013422,0.34209650325643653
7,9,6.742778062820435,5973.807481765608,119.79195173812109,1.8239228439037387,0.15357978179859078,0.14461245881806803,0.31985941321808065,0.31593667801773256,0.35025791975376114,0.33221321213523636
8,10,6.372314453125,5722.028666215264,115.84508174198197,1.812668130863828,0.1595900245728451,0.14071511222808925,0.3217478033750331,0.3258414170786914,0.34545350725117313,0.33536097550534855
9,11,8.33205246925354,5547.45596848505,110.51262131112232,1.696509398232613,0.16616325153449107,0.16382276165343576,0.35714829003183207,0.36608051141944814,0.3767588196847588,0.3713429152626165
10,12,7.054120063781738,5323.027617240872,108.34346449738375,1.7522354934550022,0.16613010943627626,0.1484518237986933,0.3399234356101495,0.35807591838575425,0.35335353459377034,0.3556990531797907
11,13,8.172444105148315,5168.3034447405535,104.62083615161714,1.6961207781881156,0.16267390754624222,0.15298211349297117,0.3512008494020117,0.37567111898536565,0.3605068066114613,0.36793278019514747
12,14,9.256618738174438,5040.5900995270185,100.8208216836412,1.736541905101911,0.16192559716343602,0.14148096014081224,0.34877030781980634,0.3815894068220335,0.35288900305909865,0.36667845790901704
13,15,8.757401466369629,4900.524673811922,98.18698567161266,1.732549462903356,0.1683710065195606,0.15404004204135688,0.3540678408244576,0.39274827661081174,0.355285786918994,0.37307894738991665
