,n_clusters,time,inertia,calinski,davies,silhouette,ARI,AMI,homo,compl,v-measure
0,2,2.0814733505249023,6338.298523118572,363.5933111645586,1.9755327247530161,0.17919597017867236,0.01858562325349368,0.01608442378319917,0.013842681162693162,0.021518977883987437,0.016847645604062555
1,3,4.153193712234497,5660.398673967283,291.45553620270147,1.9620730384143747,0.15195775764484876,0.021312613075657176,0.01812551530920056,0.019276194276046023,0.019495074229670777,0.01938501641862257
2,4,3.905315399169922,5284.398109056198,242.82862164593482,2.1967771468784387,0.12604455140014137,0.014839190244799707,0.023749194506962095,0.029004101214468316,0.022568231526961652,0.02538459040514602
3,5,6.1527485847473145,5041.264597009378,208.47491127414406,2.219792066932521,0.11575072975127579,0.022235538880194715,0.030549499543409492,0.040250340725266696,0.02732550264308102,0.03255189242339098
4,6,6.985434532165527,4824.948041513615,187.29243955608146,2.1868785282902032,0.12015446365543371,0.014212832451983614,0.0240819226543975,0.034889092631298024,0.021291465442967845,0.026444732325863172
5,7,10.201038837432861,4638.471989099989,172.06367875037807,2.214076733960346,0.12135986551570672,0.021543648101835615,0.03994167137161541,0.05921207713221963,0.033254670655898086,0.04258997252494764
6,8,11.060912370681763,4480.760303861968,159.93639195653742,2.2297653206338253,0.11712492249020304,0.021526440948942887,0.04119366030409652,0.06460994434674261,0.03350197217372395,0.04412431505603884
7,9,13.274089097976685,4356.859937026357,149.0299913045744,2.1679723970334828,0.11355434715431763,0.021899594480420916,0.04085790616540354,0.06697264418396774,0.03286126473139234,0.04408934427593267
8,10,13.041953563690186,4245.45202887453,140.12024629156227,2.1951686980866856,0.118965369011887,0.020625888586386795,0.044380499897821536,0.07493890583951102,0.03519899278351097,0.04789947944944332
