,time,n_clusters,m,num_iters,term_threshold,limit,calinski,davies,silhouette,ARI,AMI,homo,compl,v-measure
0,0.3154165744781494,2,2,100,1e-06,10,173.25127611769176,2.28086092380053,0.15380366898957124,0.009068080452678137,0.01897262023435993,0.014215135023922422,0.05090571196383946,0.022224267727687035
1,0.524402379989624,3,2,100,1e-06,10,90.05805191285675,2.2035056756694495,0.027569834073119425,0.01209855465427456,0.027285342032524126,0.022074018312739356,0.07486007727221287,0.034094560982450305
2,0.6890931129455566,4,2,100,1e-06,10,83.91046874408981,2.5175982880425734,0.0387216743551353,0.01840593994697729,0.05888037210673978,0.04795502548017512,0.11421873709416663,0.06754930465590347
3,0.8536131381988525,5,2,100,1e-06,10,81.52943151369603,1.9040897046642362,0.056717235485575945,0.018135656787196735,0.06507677489554142,0.05045737387323727,0.14384200236767908,0.07470831695457258
4,1.083479881286621,6,2,100,1e-06,10,61.39879730213718,2.0491594425696396,0.01817979775485144,0.012299331607223962,0.04596559184356423,0.04021511302806106,0.09806926048999441,0.05703994305138962
5,1.17313814163208,7,2,100,1e-06,10,35.859110839296896,1.929977686266099,-0.09687391196280316,0.014451917668747462,0.044120770262632246,0.04285288374552403,0.11870514325647367,0.06297251579957142
6,1.5069184303283691,8,2,100,1e-06,10,45.35583701848084,1.8175179256409817,-0.12689038381610632,0.011678731715692314,0.02577604127885767,0.0232727985382055,0.07852332490409637,0.0359042654915812
7,1.5141839981079102,9,2,100,1e-06,10,72.81732195290945,2.122268167564865,-0.005601485032104738,0.012084141175076123,0.03746309425917519,0.03213499148427748,0.08711737499831163,0.04695112032199516
8,1.727266550064087,10,2,100,1e-06,10,39.405062365550684,2.9513311320604614,-0.034747587474783015,0.01284331164510999,0.05114898140700062,0.04910872482148634,0.11936361251468927,0.06958762362257213
9,2.0921525955200195,11,2,100,1e-06,10,37.51841598202214,1.87761396116146,-0.11058980492451792,0.01244071458939242,0.028401848268800278,0.027450026415437746,0.08790207048562244,0.04183563579033352
10,2.1506950855255127,12,2,100,1e-06,10,61.492879333533445,2.8300666271021617,0.01831460083932111,0.03151327967648513,0.10454448664536821,0.09150299174854044,0.16924409685448977,0.1187843843698095
11,2.1908226013183594,13,2,100,1e-06,10,30.677047230424318,2.286289813728103,-0.13826819054386724,0.016725764714578307,0.06428267931658567,0.05937427113328514,0.140324538657529,0.08344233211637823
12,2.660966634750366,14,2,100,1e-06,10,29.247363458983855,1.8912276145581948,-0.14345957646688123,0.012862532361757975,0.03474400268506701,0.03535249659010797,0.1025953328725595,0.052585113802312046
13,3.0174338817596436,15,2,100,1e-06,10,37.26064220584126,1.8756185444950297,-0.12634919658332802,0.011879842923987263,0.027938783654003072,0.027310399128948084,0.08733086227272749,0.0416087659152104
