,n_clusters,time,inertia,calinski,davies,silhouette,ARI,AMI,homo,compl,v-measure
0,2,0.0911402702331543,225.64103779517882,248.90342786485118,0.5975546650809878,0.580184463257396,0.5681159420289855,0.7315847607219575,0.5793801642856945,0.9999999999999997,0.7336804366512104
1,3,0.16478371620178223,142.82294721895497,238.66153171609318,0.8361631994624249,0.4562916354374239,0.6410058621782706,0.6687492691384309,0.6728030057213789,0.6728846759701789,0.6728438383674811
2,4,0.21753263473510742,117.82687505709953,203.45736036514782,0.9250476744327643,0.41166615141390245,0.5873226702659176,0.6209982671225878,0.698096140801342,0.5696440501039534,0.6273624767296239
3,5,0.27018141746520996,94.7742798351801,200.76305907184397,0.9419360395463057,0.34523513224394087,0.4470314912241258,0.5803413022769506,0.7159466291765609,0.5002699039783394,0.5889848422018727
4,6,0.3145267963409424,85.62892101973284,177.2635382043654,1.0702305181525749,0.30272668598767827,0.39248878065217724,0.5501683955799109,0.7196011602223888,0.4600543362952284,0.5612751097937911
5,7,0.3878324031829834,75.388687858781,175.12432584235864,0.9901454485318022,0.33123309208788154,0.3331530708338384,0.5252864077791519,0.7224073349578326,0.4296980786761549,0.5388691697469248
6,8,0.42328739166259766,67.82244676828154,165.52789460924586,0.9625185067728546,0.3406227994337082,0.38878066190887234,0.5568746383720595,0.7862044783316873,0.4492655928976754,0.5717898463457306
7,9,0.3516056537628174,66.41654365370638,148.33858127572566,1.1984680112051889,0.24563517517212163,0.2974967074824603,0.5227726915798405,0.7984995360835923,0.40727192310221294,0.5394163863798608
8,10,0.45903754234313965,55.841629848861885,161.57288143401559,0.9386444188470164,0.33278774412521755,0.3450820430196504,0.533796737289645,0.8171941753619996,0.41785952140489535,0.5529676448976015
