,n_clusters,time,inertia,calinski,davies,silhouette,ARI,AMI,homo,compl,v-measure
0,2,1.9708642959594727,6338.298523118574,363.5933111645586,1.9755327247530161,0.17919597017867236,0.01858562325349368,0.01608442378319917,0.013842681162693162,0.021518977883987437,0.016847645604062555
1,3,2.7462594509124756,5784.710551666415,269.39728213097953,2.062596938947351,0.14827303015810697,0.02656350775838202,0.020906200450323216,0.02138398836386332,0.023087922603036694,0.022203312497930585
2,4,2.895948648452759,5602.314557595286,201.26146253020045,2.242118301194041,0.13414695893999926,0.025024370813637994,0.021896559947459752,0.024255927343307625,0.023229989723938717,0.023731875795162567
3,5,3.254641532897949,5523.183267110069,158.2625445093054,2.323949267525839,0.12050322311989456,0.02487867891559595,0.021642835070174494,0.025441633695297325,0.02272893093221916,0.02400890002160832
4,6,3.310412883758545,5480.060691627838,129.828167591255,2.2865917885812412,0.10481976713746714,0.02517455095370623,0.0221670397673592,0.027132366431848243,0.023301791275261493,0.025071608931012755
5,7,3.478666067123413,5436.200174534441,110.96003609463041,2.1298799899426037,0.09629043622514528,0.025219802160460516,0.025546524714233097,0.03181503264713851,0.02661398653760542,0.02898302461272548
6,8,3.3088138103485107,5434.649326153335,95.13057049591606,2.09795868828427,0.06324576125441786,0.024945399047121355,0.02001422756845262,0.026571065303609424,0.022044033574029075,0.024096771133788854
7,9,3.7291207313537598,5413.175349318236,84.23837187138305,1.9937737426231885,0.0707544650137799,0.025302092939708448,0.02475215345154779,0.03264949552283409,0.02675533973487789,0.029410008161663777
8,10,3.4864652156829834,5414.7685101041025,74.75756219735227,1.9581278196827288,0.05907046479907367,0.025005816582085144,0.021142444994325063,0.029423707240434905,0.02418872646437841,0.02655063226286376
