,time,quantile,n_clusters,calinski,davies,silhouette,ARI,AMI,homo,compl,v-measure
0,0.4038217067718506,0.2,1,,,,,,,,
1,0.2585482597351074,0.3,1,,,,,,,,
2,0.20805907249450684,0.4,1,,,,,,,,
3,0.1887073516845703,0.5,1,,,,,,,,
