<<<<<<< HEAD
,time,n_clusters,n_iter,epsilon,limit,verbose,calinski,davies,silhouette,ARI,AMI,homo,compl,v-measure
0,6.611933708190918,8,100,1e-06,10,True,2168.448991321489,1.4915577913065436,0.2462584292958462,0.4675277639381913,0.6182136422045719,0.5747178309234907,0.6700334905140167,0.6187263073070678
1,8.261912107467651,9,100,1e-06,10,True,2045.9558541249337,1.6063275012167417,0.2040241765472105,0.46216479758027273,0.6075785091156535,0.5868966924831449,0.6310180979693734,0.6081582020325559
2,12.55823016166687,10,100,1e-06,10,True,2186.4520015899316,1.4757270594034368,0.24113247580496275,0.4931171806980595,0.6501054177351585,0.6403742769508837,0.6613139816177542,0.6506757052286168
3,14.170185565948486,11,100,1e-06,10,True,2008.9537296228914,1.6294095271084488,0.22187114019739826,0.5459952688748904,0.6590002548159115,0.6715202581274272,0.6480901818691258,0.6595972160082993
4,30.14415431022644,12,100,1e-06,10,True,2102.7681303140403,1.5022424114564183,0.2531993616150223,0.5958056366624471,0.691399979373991,0.7106474250347737,0.6742859629627627,0.6919893584332194
=======
,n_clusters,time,inertia,calinski,davies,silhouette,ARI,AMI,homo,compl,v-measure
0,7,38.74798607826233,75507.9618373987,2688.5481341526715,1.3264427005011334,0.2891986710559051,0.4621754692089301,0.624532482874963,0.5668207595700154,0.6964262856696184,0.6249749448697821
1,8,63.721755504608154,71178.13909197183,2550.306138767582,1.3022980818658967,0.2884212170185032,0.44401254081804453,0.620640095495505,0.5748045773946057,0.6756277603879904,0.6211514490652962
2,9,65.06127166748047,67178.32943163722,2439.919030520829,1.2734613485287143,0.29534079007651476,0.4762266251909377,0.6484684641957265,0.6135726591280348,0.6887662451304232,0.6489987132541901
3,10,86.13770818710327,63580.933642925884,2341.1725901780137,1.3387835598769056,0.27554936186428475,0.540740812980956,0.6809259877336794,0.6666588421340919,0.6969108345969105,0.6814492548366256
4,11,105.35761141777039,60331.72214950453,2288.056119253734,1.4090111505464005,0.27112216857944343,0.5903490475635673,0.6964684286909043,0.7026231131229187,0.6914764227115546,0.6970052055657211
5,12,104.80370569229126,57819.05435180458,2215.438549805261,1.413193268199419,0.2742449849582353,0.625606845854661,0.7153844910557047,0.7369939608775088,0.6960304454277909,0.7159267247788635
6,13,146.01832604408264,56254.87327044531,2084.0376710167043,1.395566140180894,0.266084325881943,0.5957338564708191,0.7116870007706839,0.7331763551394584,0.692554458777547,0.7122867077931586
7,14,142.97376084327698,52476.37217654889,2113.751095114195,1.4118480862751697,0.27270706015200874,0.6202054580368874,0.7327651840952346,0.7761490211905123,0.6950256512529207,0.7333506877552564
8,15,159.08918523788452,53042.08686778967,1949.3940422490311,1.4472672951422818,0.2621773593793182,0.5721546030614519,0.69622987765278,0.7451295631138359,0.6546041845275111,0.6969395870484548
>>>>>>> 94dc0fe910621ba6f268c4b22429d36f69df53aa
